┌────────┬──────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │     name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
├────────┼──────────┼────────┼────────┼─────────────────┼────────────────────┼───────────────────────┼────────────────────┼──────────────────────┼──────────────┼─────────────────┼────────────────────┼─────────────────┼───────────────────┤
│      1 │   POLAK4 │      3 │      3 │        max_time │          -2.08e-16 │              3.00e+02 │           1.93e-01 │             2.06e-16 │  first_order │        5.54e-06 │           2.70e-01 │        1.45e-07 │          0.00e+00 │
│      2 │     HS79 │      5 │      3 │     first_order │           7.88e-02 │              3.80e-02 │           3.29e-08 │             2.20e-07 │  first_order │        7.88e-02 │           3.00e-03 │        3.41e-09 │          3.89e-09 │
│      3 │     S268 │      5 │      5 │     first_order │           2.73e-01 │              0.00e+00 │           2.98e-02 │             2.75e-06 │  first_order │        5.64e-04 │           2.00e-03 │        2.81e-09 │          0.00e+00 │
│      4 │      HS7 │      2 │      1 │     first_order │          -1.73e+00 │              5.00e-03 │           2.32e-08 │             1.82e-06 │  first_order │       -1.73e+00 │           6.00e-03 │        1.00e-06 │          1.60e-06 │
│      5 │     HS48 │      5 │      2 │     first_order │           8.33e-18 │              0.00e+00 │           2.40e-05 │             1.09e-08 │  first_order │        1.08e-30 │           1.00e-03 │        2.22e-15 │          8.88e-16 │
│      6 │      BT9 │      4 │      2 │     first_order │          -1.00e+00 │              0.00e+00 │           1.14e-11 │             9.26e-08 │  first_order │       -1.00e+00 │           3.00e-03 │        2.84e-06 │          2.99e-07 │
│      7 │ MIFFLIN1 │      3 │      2 │     first_order │          -1.00e+00 │              2.00e-03 │           1.19e-10 │             1.09e-10 │  first_order │       -1.00e+00 │           1.00e-03 │        1.28e-09 │          0.00e+00 │
│      8 │ GIGOMEZ1 │      3 │      3 │     first_order │          -3.00e+00 │              8.00e-03 │           1.77e-07 │             3.22e-07 │  first_order │       -3.00e+00 │           5.00e-03 │        1.84e-11 │          0.00e+00 │
│      9 │ GIGOMEZ2 │      3 │      3 │     first_order │           1.95e+00 │              2.00e-03 │           1.61e-11 │             6.90e-08 │  first_order │        1.95e+00 │           2.00e-03 │        1.86e-09 │          0.00e+00 │
│     10 │ DEMYMALO │      3 │      3 │     first_order │          -3.00e+00 │              3.00e-03 │           2.92e-11 │             3.30e-10 │  first_order │       -3.00e+00 │           2.00e-03 │        2.34e-08 │          0.00e+00 │
│     11 │     HS42 │      4 │      2 │     first_order │           1.39e+01 │              1.00e-03 │           3.37e-11 │             1.44e-07 │  first_order │        1.39e+01 │           1.00e-03 │        6.16e-08 │          5.21e-09 │
│     12 │     HS27 │      3 │      1 │     first_order │           4.00e-02 │              2.00e-03 │           1.06e-11 │             1.04e-10 │  first_order │        4.00e-02 │           1.80e-02 │        8.37e-10 │          1.54e-10 │
│     13 │ DIXCHLNG │     10 │      5 │     first_order │           2.47e+03 │              3.00e-03 │           4.96e-07 │             4.66e-07 │  first_order │        2.47e+03 │           2.00e-03 │        4.62e-05 │          2.80e-08 │
│     14 │ CHACONN1 │      3 │      3 │     first_order │           1.95e+00 │              4.50e-02 │           2.51e-11 │             3.27e-08 │  first_order │        1.95e+00 │           2.00e-03 │        3.75e-07 │          0.00e+00 │
│     15 │ KIWCRESC │      3 │      2 │     first_order │           2.16e-09 │              9.00e-03 │           8.82e-12 │             6.11e-09 │  first_order │        3.70e-06 │           2.00e-03 │        3.42e-08 │          0.00e+00 │
