┌────────┬──────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │     name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
├────────┼──────────┼────────┼────────┼─────────────────┼────────────────────┼───────────────────────┼────────────────────┼──────────────────────┼──────────────┼─────────────────┼────────────────────┼─────────────────┼───────────────────┤
│      1 │   POLAK4 │      3 │      3 │     first_order │           3.98e-15 │              6.54e-01 │           1.99e-02 │             8.66e-15 │  first_order │        2.94e-03 │           2.22e-01 │        4.60e-04 │          0.00e+00 │
│      2 │  EXPFITA │      5 │     22 │     first_order │           4.74e-03 │              1.00e-03 │           1.98e-02 │             3.30e-05 │  first_order │        9.45e-01 │           5.00e-03 │        5.80e-02 │          0.00e+00 │
│      3 │     MSS1 │     90 │     73 │      infeasible │          -3.50e+01 │              1.47e-01 │           8.38e+01 │             1.64e-01 │   infeasible │       -3.57e+01 │           3.70e-02 │        8.46e+00 │          2.76e-02 │
│      4 │     HS79 │      5 │      3 │     first_order │           7.88e-02 │              1.00e-03 │           7.76e-03 │             4.16e-05 │  first_order │        7.88e-02 │           1.00e-03 │        7.23e-05 │          2.48e-04 │
│      5 │     S268 │      5 │      5 │     first_order │           2.28e-01 │              0.00e+00 │           4.30e-02 │             4.23e-04 │  first_order │        5.27e-01 │           2.00e-03 │        8.76e-06 │          0.00e+00 │
│      6 │      HS7 │      2 │      1 │     first_order │          -1.73e+00 │              2.00e-03 │           1.09e-07 │             1.88e-03 │  first_order │       -1.73e+00 │           7.00e-03 │        8.19e-04 │          4.20e-03 │
│      7 │     HS48 │      5 │      2 │     first_order │           8.66e-05 │              1.00e-03 │           1.94e-02 │             3.30e-03 │  first_order │        4.44e-31 │           1.00e-03 │        2.22e-15 │          8.88e-16 │
│      8 │      BT9 │      4 │      2 │     first_order │          -1.00e+00 │              0.00e+00 │           9.09e-11 │             1.47e-05 │  first_order │       -1.00e+00 │           3.00e-03 │        1.29e-03 │          1.81e-04 │
│      9 │ MIFFLIN1 │      3 │      2 │     first_order │          -9.97e-01 │              0.00e+00 │           3.40e-04 │             6.17e-03 │  first_order │       -9.94e-01 │           1.00e-03 │        2.00e-03 │          0.00e+00 │
│     10 │   HAIFAS │     13 │      9 │     first_order │          -4.54e-01 │              1.00e-03 │           3.23e-03 │             6.14e-03 │  first_order │       -4.48e-01 │           3.00e-03 │        8.95e-04 │          0.00e+00 │
│     11 │ GIGOMEZ1 │      3 │      3 │     first_order │          -3.00e+00 │              1.00e-03 │           1.19e-12 │             1.39e-05 │  first_order │       -2.99e+00 │           4.00e-03 │        3.77e-04 │          0.00e+00 │
│     12 │ GIGOMEZ2 │      3 │      3 │     first_order │           1.95e+00 │              2.00e-03 │           2.82e-08 │             3.14e-04 │  first_order │        1.95e+00 │           2.00e-03 │        7.29e-04 │          0.00e+00 │
│     13 │ DEMYMALO │      3 │      3 │     first_order │          -3.00e+00 │              0.00e+00 │           4.22e-07 │             4.43e-03 │  first_order │       -3.00e+00 │           3.00e-03 │        1.67e-04 │          0.00e+00 │
│     14 │     HS42 │      4 │      2 │     first_order │           1.39e+01 │              0.00e+00 │           9.63e-08 │             1.74e-03 │  first_order │        1.39e+01 │           1.00e-03 │        8.00e-04 │          2.04e-04 │
│     15 │     HS27 │      3 │      1 │     first_order │           4.02e-02 │              1.00e-03 │           3.47e-05 │             4.59e-03 │  first_order │        3.96e-02 │           1.30e-02 │        4.50e-04 │          9.60e-03 │
│     16 │ DIXCHLNG │     10 │      5 │     first_order │           2.55e-08 │              1.00e-03 │           5.69e-02 │             1.58e-05 │  first_order │        2.47e+03 │           2.00e-03 │        3.74e-01 │          4.07e-04 │
│     17 │ CHACONN1 │      3 │      3 │     first_order │           1.95e+00 │              1.00e-03 │           2.22e-07 │             6.10e-03 │  first_order │        1.95e+00 │           1.00e-03 │        1.75e-05 │          0.00e+00 │
│     18 │ KIWCRESC │      3 │      2 │     first_order │           1.26e-03 │              1.00e-03 │           3.25e-04 │             3.56e-03 │  first_order │        6.24e-03 │           2.00e-03 │        4.63e-03 │          0.00e+00 │
│     19 │    HS100 │      7 │      4 │     first_order │           6.81e+02 │              1.70e-02 │           1.77e-08 │             2.96e-03 │  first_order │        6.81e+02 │           2.00e-03 │        4.58e-03 │          0.00e+00 │
│     20 │  WOMFLET │      3 │      3 │     first_order │           6.05e+00 │              0.00e+00 │           1.87e-02 │             1.91e-03 │  first_order │        6.05e+00 │           2.00e-03 │        8.39e-04 │          0.00e+00 │
│     21 │     BT11 │      5 │      3 │     first_order │           8.25e-01 │              1.00e-03 │           5.66e-07 │             2.00e-04 │  first_order │        8.25e-01 │           2.00e-03 │        6.07e-04 │          3.08e-05 │
│     22 │   POLAK3 │     12 │     10 │     first_order │           5.93e+00 │              6.32e-01 │           2.39e-05 │             2.07e-03 │     max_iter │       -3.86e+03 │           1.40e+00 │        1.81e+07 │          1.06e+04 │
│     23 │  MARATOS │      2 │      1 │     first_order │          -1.00e+00 │              0.00e+00 │           3.83e-08 │             6.11e-04 │  first_order │       -1.00e+00 │           1.00e-03 │        1.65e-04 │          1.81e-04 │
│     24 │    HS113 │     10 │      8 │     first_order │           2.43e+01 │              1.40e-02 │           5.27e-06 │             9.65e-04 │  first_order │        2.43e+01 │           2.00e-03 │        2.90e-04 │          0.00e+00 │
│     25 │      BT6 │      5 │      2 │     first_order │           5.15e+00 │              3.00e-03 │           4.90e-07 │             1.11e-03 │  first_order │        2.77e-01 │           3.00e-03 │        1.33e-03 │          6.13e-05 │
│     26 │ ORTHREGB │     27 │      6 │     first_order │           2.73e-19 │              2.00e-03 │           1.01e-06 │             2.44e-07 │  first_order │        1.98e-10 │           1.00e-03 │        9.90e-05 │          1.16e-04 │
│     27 │      HS6 │      2 │      1 │     first_order │           1.37e-16 │              2.00e-03 │           2.33e-05 │             2.49e-06 │  first_order │        0.00e+00 │           2.00e-03 │        0.00e+00 │          0.00e+00 │
│     28 │ GIGOMEZ3 │      3 │      3 │     first_order │           2.00e+00 │              2.00e-03 │           3.96e-06 │             8.48e-03 │  first_order │        2.01e+00 │           2.00e-03 │        8.23e-04 │          0.00e+00 │
│     29 │     HS28 │      3 │      1 │     first_order │           1.11e-04 │              0.00e+00 │           1.42e-02 │             2.92e-03 │  first_order │        1.23e-30 │           1.00e-03 │        1.80e-15 │          2.22e-16 │
│     30 │ MINMAXBD │      5 │     20 │     first_order │           1.16e+02 │              8.00e-02 │           1.26e-05 │             8.71e-08 │  first_order │        1.16e+02 │           9.00e-03 │        7.14e-07 │          0.00e+00 │
│     31 │     HS10 │      2 │      1 │     first_order │          -9.96e-01 │              1.00e-03 │           2.07e-09 │             7.82e-03 │  first_order │       -9.99e-01 │           3.00e-03 │        4.76e-05 │          0.00e+00 │
│     32 │     HS40 │      4 │      3 │     first_order │          -2.49e-01 │              0.00e+00 │           5.90e-04 │             9.96e-04 │  first_order │       -2.50e-01 │           1.00e-03 │        1.60e-04 │          2.04e-05 │
│     33 │      BT8 │      5 │      2 │     first_order │           9.97e-01 │              0.00e+00 │           6.17e-05 │             3.44e-03 │  first_order │        1.00e+00 │           1.00e-03 │        0.00e+00 │          3.91e-03 │
│     34 │      BT1 │      2 │      1 │     first_order │          -1.99e+00 │              0.00e+00 │           1.59e-04 │             9.95e-03 │  first_order │       -8.88e-01 │           2.00e-03 │        2.84e-05 │          1.12e-03 │
│     35 │     HS43 │      4 │      3 │     first_order │          -4.40e+01 │              1.00e-03 │           4.35e-02 │             5.40e-03 │  first_order │       -4.40e+01 │           2.00e-03 │        3.86e-04 │          5.54e-05 │
│     36 │  MAKELA2 │      3 │      3 │     first_order │           7.20e+00 │              2.00e-03 │           4.10e-10 │             7.33e-05 │  first_order │        7.20e+00 │           1.00e-03 │        9.09e-09 │          0.00e+00 │
